Replication;BOAT_GROUP_QUEUE: Total queue length;BOAT_GROUP_QUEUE: Waiting time arbitrary customer;waitingTimeArbitraryCustomer;Mean boat occupancy;totalQueuelength
1;0,16456;5,2E-4;5,6E-4;0,3495075;0,16456
2;0,17984;7,4E-4;6,6E-4;0,35031;0,17984
3;0,17382;7,4E-4;8,2E-4;0,3492;0,17382
4;0,1785;8,0E-4;8,6E-4;0,35047;0,1785
5;0,1835;8,2E-4;8,6E-4;0,35018;0,1835
6;0,17714;7,4E-4;7,0E-4;0,3488375;0,17714
7;0,16772;5,4E-4;5,6E-4;0,3464675;0,16772
8;0,17792;8,4E-4;7,8E-4;0,35091;0,17792
9;0,17818;7,4E-4;7,0E-4;0,3516625;0,17818
10;0,1755;8,6E-4;8,6E-4;0,348265;0,1755
1,0.0,0.0,0.0,0.34375,0.0
2,0.0,0.0,0.0,0.39375,0.0
3,0.25,0.0,0.0,0.3375,0.25
4,0.0,0.0,0.0,0.3,0.0
5,0.0,0.0,0.0,0.38125,0.0
6,0.45,0.0,0.0,0.46875,0.45
7,0.5,0.0,0.0,0.3125,0.5
8,0.0,0.0,0.0,0.325,0.0
9,0.0,0.0,0.0,0.39375,0.0
10,0.0,0.0,0.0,0.375,0.0
1,0.0,0.0,0.0,0.28125,0.0
2,0.5,0.0,0.0,0.40625,0.5
3,0.45,0.0,0.0,0.23125,0.45
4,0.85,0.0,0.0,0.4375,0.85
5,0.0,0.0,0.0,0.2625,0.0
6,0.55,0.0,0.0,0.4375,0.55
7,0.45,0.0,0.0,0.38125,0.45
8,0.0,0.0,0.0,0.29375,0.0
9,0.0,0.0,0.0,0.26875,0.0
10,0.0,0.0,0.0,0.29375,0.0
1,0.0,0.0,0.0,0.23125,0.0
2,0.25,0.0,0.0,0.39375,0.25
3,0.2,0.0,0.0,0.33125,0.2
4,0.0,0.0,0.0,0.3375,0.0
5,0.25,0.0,0.0,0.3125,0.25
6,0.7,0.0,0.0,0.3,0.7
7,0.0,0.0,0.0,0.4,0.0
8,0.0,0.0,0.0,0.36875,0.0
9,0.0,0.0,0.0,0.40625,0.0
10,0.0,0.0,0.0,0.28125,0.0
1,0.1,0.0,0.0,0.365,0.1
2,0.0,0.0,0.0,0.3125,0.0
3,0.2,0.0,0.0,0.3075,0.2
4,0.52,0.0,0.0,0.31,0.52
5,0.28,0.0,0.0,0.3125,0.28
6,0.0,0.0,0.0,0.34,0.0
7,0.58,0.0,0.0,0.3725,0.58
8,0.1,0.0,0.0,0.275,0.1
9,0.1,0.0,0.0,0.4075,0.1
10,0.62,0.0,0.0,0.345,0.62
11,0.62,0.0,0.0,0.3675,0.62
12,0.0,0.0,0.0,0.315,0.0
13,0.18,0.0,0.0,0.325,0.18
14,0.0,0.0,0.0,0.385,0.0
15,0.28,0.0,0.0,0.3125,0.28
16,0.1,0.0,0.0,0.3775,0.1
17,0.0,0.0,0.0,0.2425,0.0
18,0.18,0.0,0.0,0.39,0.18
19,0.08,0.0,0.0,0.3225,0.08
20,0.0,0.0,0.0,0.255,0.0
21,0.44,0.0,0.0,0.335,0.44
22,0.1,0.0,0.0,0.3175,0.1
23,0.3,0.0,0.0,0.3225,0.3
24,0.34,0.0,0.0,0.4125,0.34
25,0.1,0.0,0.0,0.3275,0.1
26,0.28,0.0,0.0,0.32,0.28
27,0.1,0.0,0.0,0.3675,0.1
28,0.4,0.0,0.0,0.3825,0.4
29,0.0,0.0,0.0,0.345,0.0
30,1.24,0.02,0.04,0.335,1.24
31,0.1,0.0,0.0,0.2825,0.1
32,0.18,0.0,0.0,0.3975,0.18
33,0.18,0.0,0.0,0.345,0.18
34,0.08,0.0,0.0,0.3175,0.08
35,0.2,0.0,0.0,0.4025,0.2
36,0.38,0.0,0.0,0.4,0.38
37,0.0,0.0,0.0,0.415,0.0
38,0.0,0.0,0.0,0.36,0.0
39,0.08,0.0,0.0,0.33,0.08
40,0.42,0.0,0.0,0.38,0.42
41,0.0,0.0,0.0,0.395,0.0
42,0.08,0.0,0.0,0.3925,0.08
43,0.0,0.0,0.0,0.34,0.0
44,0.0,0.0,0.0,0.33,0.0
45,0.1,0.0,0.0,0.2975,0.1
46,0.0,0.0,0.0,0.3575,0.0
47,0.58,0.0,0.0,0.36,0.58
48,0.08,0.0,0.0,0.285,0.08
49,0.46,0.0,0.0,0.4125,0.46
50,0.1,0.0,0.0,0.2775,0.1
51,0.1,0.0,0.0,0.32,0.1
52,0.08,0.0,0.0,0.3375,0.08
53,0.0,0.0,0.0,0.2975,0.0
54,0.0,0.0,0.0,0.27,0.0
55,0.18,0.0,0.0,0.3125,0.18
56,0.44,0.0,0.0,0.315,0.44
57,0.46,0.0,0.0,0.34,0.46
58,0.5,0.0,0.0,0.3375,0.5
59,0.0,0.0,0.0,0.3475,0.0
60,0.48,0.0,0.0,0.395,0.48
61,0.26,0.0,0.0,0.3625,0.26
62,0.0,0.0,0.0,0.3,0.0
63,0.08,0.0,0.0,0.3025,0.08
64,0.0,0.0,0.0,0.3125,0.0
65,0.28,0.0,0.0,0.3975,0.28
66,1.34,0.0,0.02,0.46,1.34
67,0.0,0.0,0.0,0.3575,0.0
68,0.0,0.0,0.0,0.3025,0.0
69,0.74,0.02,0.02,0.385,0.74
70,0.08,0.0,0.0,0.3325,0.08
71,0.0,0.0,0.0,0.255,0.0
72,0.08,0.0,0.0,0.38,0.08
73,0.2,0.0,0.0,0.3125,0.2
74,0.38,0.0,0.0,0.405,0.38
75,0.18,0.0,0.0,0.3575,0.18
76,0.12,0.0,0.0,0.3725,0.12
77,0.0,0.0,0.0,0.385,0.0
78,0.0,0.0,0.0,0.3775,0.0
79,0.0,0.0,0.0,0.3375,0.0
80,0.2,0.0,0.0,0.29,0.2
81,0.2,0.0,0.0,0.3425,0.2
82,0.1,0.0,0.0,0.325,0.1
83,0.08,0.0,0.0,0.35,0.08
84,0.08,0.0,0.0,0.4025,0.08
85,0.0,0.0,0.0,0.285,0.0
86,0.24,0.0,0.0,0.27,0.24
87,0.0,0.0,0.0,0.31,0.0
88,0.0,0.0,0.0,0.325,0.0
89,0.38,0.0,0.0,0.34,0.38
90,0.0,0.0,0.0,0.4175,0.0
91,0.6,0.0,0.0,0.3975,0.6
92,0.3,0.0,0.0,0.4525,0.3
93,0.0,0.0,0.0,0.335,0.0
94,0.0,0.0,0.0,0.3325,0.0
95,0.1,0.0,0.0,0.41,0.1
96,0.0,0.0,0.0,0.2625,0.0
97,0.0,0.0,0.0,0.2675,0.0
98,1.46,0.1,0.06,0.4175,1.46
99,0.08,0.0,0.0,0.355,0.08
100,0.16,0.0,0.0,0.3325,0.16
1,0.08,0.0,0.0,0.31,0.08
2,0.34,0.0,0.0,0.355,0.34
3,0.0,0.0,0.0,0.33,0.0
4,0.3,0.0,0.0,0.4375,0.3
5,0.2,0.0,0.0,0.365,0.2
6,0.5,0.02,0.02,0.3775,0.5
7,0.0,0.0,0.0,0.3375,0.0
